pf_id,smiles,hfu_p_mod,hfu_p_num,measure_comm,hbp_mod,hbp_num,blood2plasm_comm
PF-03911981,[nH]1nnc(n1)-c2c(cccc2)-c3ccc(cc3)Cn4c(nc(c4C(=O)OCC5=C(OC(=O)O5)C)C(O)(C)C)CCC,=,0.0045,,,,
PF-00344532,N1(CCCC1)[C@H](CN(Cc2ccccc2)c3ccccc3)COCC(C)C,=,0.0047,,,,
PF-00345124,O(c1cc(ccc1)[C@H](C)C(=O)O)c2ccccc2,=,0.00495, Poor analytical sensitivity,=,0.845,
PF-00344704,N(CCOC(=O)C1(CCCCC1)C2CCCCC2)(CC)CC,=,0.00533,,,,
PF-00249451,Fc1ccc(cc1)C(CCCN2CCC(CC2)N4c3c(cccc3)NC4=O)c5ccc(cc5)F,=,0.00545,,,,
PF-00344547,Clc1c(c(ccc1OCC(=O)O)C(=O)C(=C)CC)Cl,=,0.0055,Poor analytical sensitivityPoor analytical sensitivity ,=,0.3625,
PF-05208749,n1(c3c(c(c1-c2ccc(cc2)O)C)cc(cc3)O)Cc4ccc(cc4)OCCN5CCCCCC5,=,0.005837298,,=,0.713333333,
PF-06700174,Fc1ccc(cc1)NC(=O)C2(CC2)C(=O)Nc3ccc(cc3)Oc4c5c(ncc4)cc(c(c5)OC)OC,=,0.00591,,,,
PF-00344597,FC(F)(F)c1cc3c(cc1)Sc2c(cccc2)N3CCCN4CCN(CC4)C,=,0.0061,,,,
PF-00346561,n1(c(nc2c1cc(cc2C)-c3n(c4c(n3)cccc4)C)CCC)Cc5ccc(cc5)-c6c(cccc6)C(=O)O,=,0.00627,,=,0.61,
PF-04960204,Fc1ccc(cc1)-c2c(n(c3c2cccc3)C(C)C)/C=C/[C@H](O)C[C@H](O)CC(=O)O,=,0.0065,,=,0.612,
PF-00346626,S(=O)(=O)(NC(=O)NC(C)C)c1cnccc1Nc2cc(ccc2)C,=,0.00686,,=,0.573,
PF-00345560,S1[C@H](C(=O)NC1=O)Cc2ccc(cc2)OCCc3ncc(cc3)CC,=,0.0076,,,,
PF-01666626,FC(F)Oc1c(cc(cc1)C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3,=,0.00779,,=,0.649,
PF-01620335,Fc1ccc(cc1)-c2c4c(nc(c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)C3CC3)cccc4,=,0.0081225,,=,0.65,
PF-00249549,[N+](=O)([O-])c1cc(ccc1)[C@@H]2C(=C(NC(=C2C(=O)OC)C)C)C(=O)OCCN(Cc3ccccc3)C,=,0.00823,,=,0.634,
PF-00346297,S1(=O)(=O)N(C(=C(c2c1cccc2)O)C(=O)Nc3sc(cn3)C)C,=,0.00834,,,,
PF-00579891,Clc1cc(ccc1)N2CCN(CC2)CCCN3N=C(N(C3=O)CCOc4ccccc4)CC,=,0.0084,,,,
PF-06759497,n1(nccc1-c2ncccc2COc3c(c(ccc3)O)C=O)C(C)C,=,0.00891,Poor StabilityPoor StabilityLow recovery in experimentLow recovery in experimentLow recovery in experiment,,,Compound not at equilibrium% Recovery out of +/-30% range% Recovery out of +/-30% range% Recovery out of +/-30% rangeCompound not at equilibriumCompound not at equilibrium
PF-06480567,Brc1n(c(nn1)SCC(=O)O)-c2c4c(c(cc2)C3CC3)cccc4,=,0.00917,,=,0.689,
PF-06700582,Ic1cc(c(cc1)NC2=C3C(=C(C(=O)N2C)C)N(C(=O)N(C3=O)C4CC4)c5cc(ccc5)NC(=O)C)F,=,0.010517674,,=,0.626573093,
PF-00344630,Clc1ccc(cc1)C(=O)n2c3c(c(c2C)CC(=O)O)cc(cc3)OC,=,0.010628333,       5uM; 10X Dilution; mini presat; 25uM; 10X Dilution; mini presat; 55uM; 10X Dilution; mini presat; 10  ,=,0.551,
PF-00344585,[nH]1c6c(c5c1[C@@H]4N(C[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](C2)OC(=O)c3cc(c(c(c3)OC)OC)OC)OC)C(=O)OC)C4)CC5)ccc(c6)OC,=,0.011,,,,
PF-01214528,s1c(nc(c1C(=O)O)C)-c2cc(c(cc2)OCC(C)C)C#N,=,0.011,,=,0.560116495,
PF-00579923,[C@@]32(C(=O)C(=O)N4[C@H](C(=O)O[C@H](\C(=C\[C@H]1C[C@H]([C@@H](CC1)O)OC)\C)[C@@H]([C@H](CC(=O)[C@@H](C=C(C[C@@H](C[C@@H]([C@@H](O2)[C@H](C[C@H]3C)OC)OC)C)C)CC=C)O)C)CCCC4)O,=,0.011666667,Poor analytical sensitivity    ,=,1.06,
PF-00344646,Clc1cc3c(cc1)Sc2c(cccc2)N3CCCN4CCN(CC4)C,=,0.01192,,=,0.807,
PF-00802333,Clc1ccc(cc1)C(=O)c2ccc(cc2)OC(C)(C)C(=O)O,=,0.012,,,,
PF-00579945,N([C@H](Cc1ccccc1)C(=O)O)C(=O)[C@@H]2CC[C@H](CC2)C(C)C,=,0.012375714,,=,0.653,
PF-05299617,Fc1c(ccc(c1)F)CNC(=O)C4=CN3C[C@H]2N([C@@H](CCO2)C)C(=O)C3=C(C4=O)O,=,0.0129,,,,
PF-00344599,O2c1c(cccc1)C(=C(C2=O)[C@H](CC(=O)C)c3ccccc3)O,=,0.013202727,,=,0.595,
PF-04337610,O[C@H]1[C@@H]3[C@@H]([C@@]2([C@H]([C@H]1CC)C[C@@H](CC2)O)C)CC[C@]4([C@H]3CC[C@@H]4[C@@H](CCC(=O)O)C)C,=,0.013425,poor analytical sensitivityPoor analytical sensitivity Presaturation MethodPresaturation MethodPre-saturation method,,,
PF-04440348,[N+](=O)([O-])c1c(c(cc(c1)\C=C(\C(=O)N(CC)CC)/C#N)O)O,=,0.014,,,,
PF-00619124,Clc1c(cccc1N2CCN(CC2)CCCCOc3cc4c(cc3)CCC(=O)N4)Cl,=,0.014475,,=,0.5965,
PF-00345041,FC(F)(F)c1cc3c(cc1)Sc2c(cccc2)N3CCCN4CCN(CC4)CCO,=,0.0159,,=,0.896,
PF-00835131,N1(CCCCC1)c2c(cccc2)[C@@H](NC(=O)Cc3cc(c(cc3)C(=O)O)OCC)CC(C)C,=,0.016196667,,=,0.756028784,Disparate replicates   
PF-00346555,[nH]1nnnc1-c2c(cccc2)-c3ccc(cc3)CN5C(=NC4(CCCC4)C5=O)CCCC,=,0.016366667,,=,0.592666667,Compound not at equilibrium   
PF-04983154,Clc1c(cc(cc1)NC(=O)c2c(cc(cc2)S(=O)(=O)C)Cl)-c3ncccc3,=,0.0165,,=,0.583,
PF-00345548,[nH]1c3c(c2c1cccc2)c(ccc3)OC[C@H](O)CNCCOc4c(cccc4)OC,=,0.0167,,,,
PF-01367866,S(c1c(cccc1)C(=O)NC)c3cc2[nH]nc(c2cc3)/C=C/c4ncccc4,=,0.0168,,=,0.727666667,
PF-00344559,OC(=O)[C@H](C)c1ccc(cc1)CC(C)C,=,0.017233333,Poor analytical sensitivity Poor analytical sensitivityPoor analytical sensitivity  ,,,Poor analytical sensitivity
PF-07261624,S(=O)(=O)(NC(=O)[C@@]65NC(=O)[C@H]1N(C[C@@H](C1)Oc2nc4c(c3c2cccc3)cccc4)C(=O)[C@H](CCCCCC=C[C@H]5C6)NC(=O)c7ncc(nc7)C)C8CC8,=,0.0173,,,,
PF-00344571,Clc1c(ccc(c1)Cl)[C@@]2(O[C@H](CO2)COc3ccc(cc3)N4CCN(CC4)C(=O)C)Cn5cncc5,=,0.017875,,=,0.697,
PF-04993378,Fc1ccc(cc1)-c2sc(cc2)Cc3c(ccc(c3)[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)C,=,0.0183,,=,0.823256713,Poor analytical sensitivity  
PF-00346556,Fc1ccc(cc1)-c2c(c(nc(c2\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)C(C)C)C(C)C)COC,=,0.0184125,       Disparate replicates ,=,0.5361732,
PF-00345053,N1C(=C([C@H](C(=C1C)C(=O)OC)c3c2nonc2ccc3)C(=O)OC(C)C)C,=,0.02,,,,
PF-00345137,N(CC)(CC)CC#CCOC(=O)[C@](O)(C1CCCCC1)c2ccccc2,=,0.02,,,,
PF-00346560,s1c(nc(c1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C[C@H](O)[C@@H](NC(=O)OCc2scnc2)Cc3ccccc3)Cc4ccccc4)C(C)C,=,0.0201,,=,0.705,
PF-00344989,OC(=O)[C@H](C)c1cc(ccc1)C(=O)c2ccccc2,=,0.021,,=,0.608,
PF-00345141,Clc1cc3c(cc1)Sc2c(cccc2)N3CCCN4CCN(CC4)CCO,=,0.0212,,=,0.898,
PF-04605975,Fc1cc2c(cc1)O[C@H](CC2)[C@@H](O)CNC[C@H](O)[C@H]4Oc3c(cc(cc3)F)CC4,=,0.0233,,=,0.956,
PF-00345127,n31c(ccc1C(=O)c2ccccc2)[C@H](CC3)C(=O)O,=,0.02365,,=,0.6845,
PF-00345144,S1(=O)(=O)N(C(=C(c2c1cccc2)O)C(=O)Nc3ncccc3)C,=,0.02545,,,,
PF-00579897,Clc1c(ccc(c1)[C@@H]2CC[C@@H](c3c2cccc3)NC)Cl,=,0.026717575,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Assay performed at 4 degrees C (24h)Assay performed at 4 degrees C (24h)               Poor analytical sensitivity                                       Positive control failure                         Positive control failure                 Disparate replicates                                                                                   Dilution Method (1x @ 18 hrs)Standard ConditionsDilution Method (1x @ 18 hrs)  Dilution Method (1x @ 18 hrs)Dilution Method (1x @ 24 hrs)  Dilution Method (1x @ 18 hrs)     Dilution Method (10x @ 18 hrs)     Low recovery/ Dilution Method (10x @ 6 hrs)  Dilution Method (10x @ 18 hrs)       18hr Incubation18hr 10x dilution24hr Incubation24hr 10x dilution10x/18hr Dilution Method   18hr/10x dilution Method           Dilution Method (10x @ 18 hrs)              18 hr incubation    18 hour Incubation18 hour Incubation6 hr EqD        Media Composition: HBSS (with Ca/Mg); 20 mM HEPES; 0.1% BSA; 100 uM IBMX                                                                                                 4 degrees 18 hour                                      2uM; 10X Dilution; mini presat; 22uM; 10X Dilution; mini presat; 102uM; 10X Dilution; mini presat; 5                        5x10x2x6hr Mini Presat                                           Blood; Plasma   Blood; Plasma                             ,=,1.65,
PF-05208751,FC(F)Oc2cc1nc([nH]c1cc2)[S@](=O)Cc3nccc(c3OC)OC,=,0.02845,,=,0.571,
PF-01468991,s1c(ccc1)C/C(=C\c2n(c(nc2)CCCC)Cc3ccc(cc3)C(=O)O)/C(=O)O,=,0.02848,,=,0.6155,
PF-01238578,S(=O)(=O)(Nc1nc(nc(c1Oc2c(cccc2)OC)OCCO)-c3ncccn3)c4ccc(cc4)C(C)(C)C,=,0.028977778,poor analytical sensitivity       Low recovery in experiment  ,=,0.672428571,No Equilibrium      
PF-04998299,FC(F)(F)c1c(ccc(c1)N2C(=S)N(C(C2=O)(C)C)c3cc(c(cc3)C(=O)NC)F)C#N,=,0.029,,,,
PF-00579950,[nH]1c2c(c(c1)\C=N\NC(=N)NCCCCC)cc(cc2)OC,=,0.0298,,=,1.44,
PF-00344663,S(=O)(=O)(NC(=O)NCCCC)c1ccc(cc1)C,=,0.0306,,=,0.54,
PF-00579890,Clc1nc(n(c1CO)Cc2ccc(cc2)-c3c(cccc3)-c4[nH]nnn4)CCCC,=,0.03068,,=,0.626,Compound not at equilibrium  
WYE-250415,Clc1cc2c(cc1)N(CCCC2O)C(=O)c3c(cc(cc3)NC(=O)c4c(cccc4)C)C,=,0.031,,=,0.679,
PF-00345029,Clc1cc3c(cc1)Sc2c(cccc2)N3CCCN(C)C,=,0.031627273,   high recovery in experiment      Poor analytical sensitivity ,=,0.825,
PF-00344573,[N+](=O)([O-])c1c(cccc1)C2C(=C(NC(=C2C(=O)OC)C)C)C(=O)OC,=,0.0319,,=,0.59,
PF-06889204,O[C@H]1[C@@H]([C@@H]3[C@H](C1)Cc2c(cccc2OCC(=O)O)C3)CC[C@@H](O)CCCCC,=,0.0337,,=,0.627,
PF-00344983,N1(CCCCC1)c2nc(nc3c2nc(nc3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,=,0.0339,,=,0.612,
PF-06293544,N1(CCN(CC1)C)CC(=O)N(C)c2ccc(cc2)N\C(=C/4\c3c(cc(cc3)C(=O)OC)NC4=O)\c5ccccc5,=,0.036,,,,
PF-00344887,S(=O)(=O)(NC(=O)NC1CCCCC1)c2ccc(cc2)CCNC(=O)c3ncc(nc3)C,=,0.03742,,=,0.619120814,
PF-00345121,Clc1cc2c(cc1)N(C(=O)CN=C2c3ccccc3)C,=,0.0384,diaza ,,,
PF-00346603,N1(CCN(CC1)C(=O)[C@@H]3Oc2c(cccc2)OC3)c4nc5c(c(n4)N)cc(c(c5)OC)OC,=,0.039461943,,=,0.83,
PF-00344554,Clc1c(cc(c(c1)NCc2occc2)C(=O)O)S(=O)(=O)N,=,0.0409,,,,
PF-05906886,[nH]1c5c(c(c1)CCCCN2CCN(CC2)c4cc3c(oc(c3)C(=O)N)cc4)cc(cc5)C#N,=,0.042,,=,0.793,
PF-00344697,ClCCN(CCCl)c1ccc(cc1)CCCC(=O)O,=,0.0433,Low recovery in experiment,=,0.574,
PF-02341066,Fc1c(c(c(cc1)Cl)[C@H](Oc2c(ncc(c2)-c3cn(nc3)C4CCNCC4)N)C)Cl,=,0.0461,,=,1.215,
PF-00346559,s1c(ccc1)[C@@H](Oc2c3c(ccc2)cccc3)CCNC,=,0.0466,,=,0.834,
PF-00579925,S(=O)(=O)(N)c1ccc(cc1)-c2c(noc2C)-c3ccccc3,=,0.0466,,=,4.64,
PF-06749129,Ic1cc(c(cc1)Nc2c(c(ccc2C(=O)N3CC(C3)(O)[C@H]4NCCCC4)F)F)F,=,0.048768259,,=,0.878176811,
PF-00344857,S(=O)(=O)(N)c1c(c(cc(c1)C(=O)O)NCCCC)Oc2ccccc2,=,0.0497,,=,0.621,
PF-00079943,Fc1ccc(cc1)-c2n(c(c(c2-c3ccccc3)C(=O)Nc4ccccc4)C(C)C)CC[C@@H](O)C[C@@H](O)CC(=O)O,=,0.051125,    Ion suppression,=,0.565, % Recovery out of  +/-30% range
PF-00346487,Fc1c(cccc1)C3=NCc2n(c(nc2)C)-c4c3cc(cc4)Cl,=,0.053,,,,
PF-01514191,Fc1c(cc(cc1)Nc2ncnc3c2cc(c(c3)OC)OCCCN4CCOCC4)Cl,=,0.054866667,,=,0.99,
PF-00344586,FC(F)(F)Oc2cc1sc(nc1cc2)N,=,0.0565,,=,0.75,
PF-00345001,Clc1cc3c(cc1)Oc2c(cccc2)N=C3N4CCN(CC4)C,=,0.062,,,,
PF-00345563,N1([C@@H](C[C@H]2[C@@H](C1)CCCC2)C(=O)NC(C)(C)C)C[C@@H](O)[C@@H](NC(=O)[C@@H](NC(=O)c3nc4c(cc3)cccc4)CC(=O)N)Cc5ccccc5,=,0.0662,,=,0.687,
PF-06438825,n1c(nc(cc1C)C)O[C@@H](C(OC)(c2ccccc2)c3ccccc3)C(=O)O,=,0.0697,  Disparate replicates,,,
PF-06811462,Brc1cc(c(cc1)Nc3c(c2ncn(c2cc3C(=O)NOCCO)C)F)F,=,0.0727,,=,0.654,
